"","x","value","value.1","data1[, 3] * 10"
"264",64,0.3814,0.017794,0.17794
"265",65,0.9336,0.0066018,0.066018
"266",66,-0.11097,0.0027962,0.027962
"267",67,-0.40454,0.011454,0.11454
"268",68,0.057036,0.0015198,0.015198
"269",69,0.18019,0.012627,0.12627
"270",70,-0.058367,0.0035961,0.035961
"271",71,-0.14361,0.0053448,0.053448
"272",72,-0.36623,0.0078679,0.078679
"273",73,-0.50486,0.010702,0.10702
"274",74,-0.49131,0.016094,0.16094
"275",75,-1.3764,0.0033879,0.033879
"276",76,-1.6222,0.0086811,0.086811
"277",77,-1.4429,0.0086873,0.086873
"278",78,-0.97248,0.00051855,0.0051855
"279",79,-1.3478,0.0013774,0.013774
"280",80,-1.2227,0.0090431,0.090431
"281",81,-1.9688,0.005648,0.05648
"282",82,-2.0969,0.0097141,0.097141
"283",83,-1.4443,0.017362,0.17362
"284",84,-0.48299,0.021538,0.21538
"285",85,-0.84554,0.0034472,0.034472
"286",86,-1.3142,0.01387,0.1387
"287",87,-1.6475,0.012065,0.12065
"288",88,-0.95306,0.010604,0.10604
"289",89,-0.80738,0.0059251,0.059251
"290",90,-0.92005,0.0079791,0.079791
"291",91,-0.89714,0.004947,0.04947
"292",92,-0.74796,0.0019422,0.019422
"293",93,-1.1511,0.012801,0.12801
"294",94,-2.0176,0.0075023,0.075023
"295",95,-1.0497,0.0045706,0.045706
"296",96,-1.3511,0.0035715,0.035715
"297",97,-2.3952,0.011508,0.11508
"298",98,-1.77,0.0018545,0.018545
"299",99,-1.7433,0.009865,0.09865
"300",100,-2.176,0.0076583,0.076583
"301",1,-0.30613,0.0015821,0.015821
"302",2,0.06918,0.0012965,0.012965
"303",3,-0.47106,0.010736,0.10736
"304",4,-0.10404,0.0063193,0.063193
"305",5,0.04795,0.02002,0.2002
"306",6,-0.15057,0.0091273,0.091273
"307",7,-0.23321,0.012759,0.12759
"308",8,0.13999,0.0013562,0.013562
"309",9,-0.066127,0.0023635,0.023635
"310",10,0.28371,0.015793,0.15793
"311",11,-0.10922,0.006257,0.06257
"312",12,0.10565,0.0054347,0.054347
"313",13,-0.45967,0.018113,0.18113
"314",14,0.05696,0.026548,0.26548
"315",15,0.016697,0.013875,0.13875
"316",16,-0.11778,0.0013324,0.013324
"317",17,0.38151,0.0051117,0.051117
"318",18,0.17757,0.010472,0.10472
"319",19,0.5402,0.0072713,0.072713
"320",20,0.16868,0.0031757,0.031757
"321",21,-0.27845,0.002453,0.02453
"322",22,0.33533,0.0097294,0.097294
"323",23,0.060128,0.0032854,0.032854
"324",24,0.091779,0.009095,0.09095
"325",25,-0.078199,0.012021,0.12021
"326",26,0.34466,0.0030395,0.030395
