"","x","value","value.1","data1[, 3] * 10"
"207",7,0.3532,0.00020148,0.0020148
"208",8,0.10589,0.00021456,0.0021456
"209",9,0.48191,0.00097656,0.0097656
"210",10,0.53435,0.0015224,0.015224
"211",11,-0.75717,0.00097656,0.0097656
"212",12,-0.63715,0.00040477,0.0040477
"213",13,-0.25008,0.0025532,0.025532
"214",14,0.78047,0.00097656,0.0097656
"215",15,0.39118,0.00097656,0.0097656
"216",16,0.66493,8.1518e-05,0.00081518
"217",17,0.67902,0.00097656,0.0097656
"218",18,0.27673,0.037226,0.37226
"219",19,0.13825,0.0007902,0.007902
"220",20,0.075258,0.00097656,0.0097656
"221",21,0.26363,0.00091598,0.0091598
"222",22,-0.24688,0.0076389,0.076389
"223",23,-0.064405,0.00097656,0.0097656
"224",24,-0.060062,1.8704e-05,0.00018704
"225",25,0.83391,0.00097656,0.0097656
"226",26,0.46507,2.2025e-06,2.2025e-05
"227",27,0.15375,3.4705e-08,3.4705e-07
"228",28,0.10166,9.7826e-11,9.7826e-10
"229",29,-1.4699,0.00097656,0.0097656
"230",30,-1.3757,2.3902e-06,2.3902e-05
"231",31,-0.59798,0.00097656,0.0097656
"232",32,-0.25862,0.00038961,0.0038961
"233",33,-0.88997,0.00097656,0.0097656
"234",34,-0.54881,0.0017589,0.017589
"235",35,-0.50105,0.0010036,0.010036
"236",36,-0.72307,0.00088836,0.0088836
"237",37,-0.58949,0.0019368,0.019368
"238",38,-0.050971,0.00097656,0.0097656
"239",39,-0.20584,1.3226e-05,0.00013226
"240",40,-0.4766,0.00097656,0.0097656
"241",41,-0.60094,0.00060968,0.0060968
"242",42,-0.83198,0.00097656,0.0097656
"243",43,-0.92957,0.000913,0.00913
"244",44,-1.1202,0.00037429,0.0037429
"245",45,-1.2729,0.0013356,0.013356
"246",46,-0.81976,0.00097656,0.0097656
"247",47,-1.0809,0.00065073,0.0065073
"248",48,-0.87893,0.00021021,0.0021021
"249",49,-1.0109,0.00097656,0.0097656
"250",50,0.050101,0.00097656,0.0097656
"251",51,0.55237,0.023989,0.23989
"252",52,0.71102,0.00069315,0.0069315
"253",53,0.51409,0.00097656,0.0097656
"254",54,0.58726,1.0386e-05,0.00010386
"255",55,0.39691,0.00097656,0.0097656
"256",56,0.28806,0.0010198,0.010198
